,sme_ban,point_est_date,total_sales,total_points,total_order,version
84,91128456,2023-06-09 11:08:56,60000,30000,1,NCF Model
85,89069972,2023-06-02 11:40:37,46800,23400,2,NCF Model
86,36091481,2023-06-06 15:50:58,57600,28800,4,NCF Model
87,85195012,2023-06-11 10:37:39,60000,30000,2,NCF Model
88,75560807,2023-06-12 13:56:21,36000,18000,2,NCF Model
89,91302671,2023-06-15 12:36:00,60000,30000,1,NCF Model
90,93373588,2023-06-08 09:56:56,64800,32400,2,NCF Model
91,41479977,2023-06-08 21:02:33,60000,30000,2,NCF Model
92,90351245,2023-06-17 18:22:46,60000,30000,1,NCF Model
93,92308694,2023-06-14 11:29:27,19200,9600,1,NCF Model
94,28500478,2023-06-07 11:51:28,33600,16800,2,NCF Model
95,30991400,2023-06-19 11:43:54,57600,28800,3,NCF Model
96,97290906,2023-06-15 14:08:14,63000,30000,1,NCF Model
97,90769559,2023-06-15 16:40:59,60000,30000,1,NCF Model
98,90199663,2023-06-12 20:55:27,0,0,0,NCF Model
99,91376618,2023-06-05 09:42:41,60000,30000,1,NCF Model
100,92272464,2023-06-17 15:20:34,60000,30000,1,NCF Model
101,54903981,2023-06-17 09:46:05,60000,30000,1,NCF Model
102,83255339,2023-06-01 16:28:02,64800,30000,1,NCF Model
103,85114784,2023-06-15 21:07:04,64800,30000,1,NCF Model
104,27623233,2023-06-14 13:25:38,36000,18000,1,NCF Model
105,29083710,2023-06-08 16:17:22,33600,16800,3,NCF Model
106,99917617,2023-06-05 09:48:18,0,0,0,NCF Model
107,84446884,2023-06-15 15:15:19,0,0,0,NCF Model
108,41218615,2023-06-01 16:15:24,60000,30000,2,NCF Model
109,42166903,2023-06-01 15:10:59,60000,30000,2,NCF Model
110,54635281,2023-06-13 08:48:55,46800,23400,2,NCF Model
111,40998655,2023-06-07 11:02:01,60000,30000,1,NCF Model
112,27677357,2023-06-17 14:15:26,55200,27600,1,NCF Model
113,16994222,2023-06-19 10:48:26,45000,22500,1,NCF Model
114,47816912,2023-06-13 19:07:32,60000,30000,2,NCF Model
115,82791522,2023-06-13 19:20:33,43000,21500,1,NCF Model
116,82386208,2023-06-01 13:12:48,60000,30000,1,NCF Model
117,91585018,2023-06-13 16:03:37,23856,11928,1,NCF Model
118,82383504,2023-06-08 16:52:02,60000,30000,1,NCF Model
119,57166509,2023-06-19 16:07:45,94200,47100,3,NCF Model
120,93245753,2023-06-19 15:46:06,19200,9600,1,NCF Model
121,80234901,2023-06-16 14:58:50,45000,22500,1,NCF Model
122,91940164,2023-06-17 07:59:53,20200,10100,2,NCF Model
123,93361154,2023-06-09 17:12:14,23400,11700,1,NCF Model
124,41431968,2023-06-19 21:13:53,14400,11520,2,NCF Model
125,91784179,2023-06-07 14:36:37,32400,16200,2,NCF Model
126,54080310,2023-06-14 12:43:16,60000,30000,1,NCF Model
127,82771429,2023-06-02 15:27:11,0,0,0,NCF Model
128,93793245,2023-06-16 09:42:58,0,0,0,NCF Model
129,90661635,2023-06-09 13:11:46,8400,4200,1,NCF Model
130,90581366,2023-06-13 13:49:13,0,0,0,NCF Model
131,93100335,2023-06-07 18:45:23,22800,11400,1,NCF Model
132,87141203,2023-06-17 13:06:26,60000,30000,1,NCF Model
133,54506580,2023-06-01 14:57:57,60000,30000,1,NCF Model
134,54270727,2023-06-18 16:51:01,66800,30000,1,NCF Model
135,91380211,2023-06-18 15:02:41,60000,30000,2,NCF Model
136,83028948,2023-06-12 09:05:14,0,0,0,NCF Model
137,42967777,2023-06-17 14:24:26,60000,30000,1,NCF Model
138,89675597,2023-06-16 14:11:11,33600,16800,2,NCF Model
139,88632017,2023-06-06 15:31:05,19200,9600,1,NCF Model
140,42795327,2023-06-01 09:17:51,0,0,0,NCF Model
141,89605967,2023-06-07 11:26:31,41988,20994,1,NCF Model
142,91011907,2023-06-14 02:07:18,30000,15000,2,NCF Model
143,89102732,2023-06-08 12:11:39,19200,9600,1,NCF Model
144,87221472,2023-06-17 19:43:10,60000,30000,1,NCF Model
145,83740255,2023-06-14 12:00:46,14400,7200,2,NCF Model
146,69644581,2023-06-13 14:35:56,60000,30000,1,NCF Model
147,92367715,2023-06-07 16:02:52,23400,11700,1,NCF Model
148,26253367,2023-06-05 17:44:55,66800,30000,1,NCF Model
149,83003828,2023-06-05 15:02:45,22800,11400,1,NCF Model
150,72353158,2023-06-09 21:11:32,60000,30000,1,NCF Model
151,92594394,2023-06-06 00:08:39,68400,34200,3,NCF Model
152,84507690,2023-06-06 14:31:59,33600,16800,2,NCF Model
153,27843573,2023-06-15 14:25:47,47000,23500,1,NCF Model
154,91782572,2023-06-16 14:39:00,30000,15000,1,NCF Model
155,94069564,2023-06-14 09:19:11,40000,20000,1,NCF Model
156,28470853,2023-06-09 15:47:10,60000,30000,2,NCF Model
157,59208603,2023-06-13 14:47:30,0,0,0,NCF Model
158,92353923,2023-06-03 20:17:38,11700,5850,1,NCF Model
159,85022862,2023-06-13 11:52:03,63000,30000,1,NCF Model
160,82006517,2023-06-11 14:09:41,60000,30000,2,NCF Model
161,53631913,2023-06-14 15:38:26,0,0,0,NCF Model
162,98859202,2023-06-09 11:04:18,24000,12000,1,NCF Model
163,91370852,2023-06-07 13:42:31,53256,26628,2,NCF Model
164,92551331,2023-06-01 11:14:42,53000,26500,3,NCF Model
165,93356639,2023-06-19 20:00:18,60000,30000,1,NCF Model
166,87502022,2023-06-15 17:02:43,153024,60000,4,NCF Model
167,93358019,2023-06-05 15:21:10,22800,11400,1,NCF Model
168,56607850,2023-06-17 09:11:41,60000,30000,1,NCF Model
169,82272970,2023-06-16 16:00:11,0,0,0,NCF Model
170,34936339,2023-06-05 12:01:41,60000,30000,1,NCF Model
171,92214373,2023-06-09 20:17:01,19200,9600,1,NCF Model
172,50720530,2023-06-09 12:57:42,60000,30000,2,NCF Model
173,50885589,2023-06-09 19:14:41,47000,23500,1,NCF Model
174,42898816,2023-06-09 11:12:08,60000,30000,1,NCF Model
175,85667639,2023-06-14 12:15:50,36000,18000,1,NCF Model
176,88664951,2023-06-08 00:30:14,64800,30000,1,NCF Model
177,88729265,2023-06-08 15:25:42,60000,30000,1,NCF Model
178,47605424,2023-06-07 14:02:51,60000,30000,1,NCF Model
179,99523557,2023-06-02 11:21:29,60000,30000,1,NCF Model
180,83529963,2023-06-07 15:09:20,48000,24000,2,NCF Model
181,12698116,2023-06-02 13:20:46,56400,28200,6,NCF Model
182,16812623,2023-06-15 11:09:29,25200,12600,3,NCF Model
183,91780151,2023-06-05 18:46:20,37080,18540,1,NCF Model
184,92330437,2023-06-07 19:35:13,60000,30000,1,NCF Model
185,83613949,2023-06-15 12:29:18,60000,30000,2,NCF Model
186,27537384,2023-06-16 11:33:56,60000,30000,1,NCF Model
187,87082372,2023-06-06 21:31:56,0,0,0,NCF Model
188,89019018,2023-06-16 14:31:16,60000,30000,1,NCF Model
189,24535406,2023-06-12 01:25:27,13815,6906,3,NCF Model
190,92513371,2023-06-07 11:33:59,60000,30000,1,NCF Model
191,93787525,2023-06-01 23:31:14,82512,41256,2,NCF Model
192,31594597,2023-06-11 12:26:22,60000,30000,2,NCF Model
193,52554620,2023-06-06 11:06:23,49680,24840,3,NCF Model
194,75131308,2023-06-07 13:33:00,60000,30000,1,NCF Model
195,92050012,2023-06-02 12:27:15,40000,20000,1,NCF Model
196,90586073,2023-06-08 17:36:15,0,0,0,NCF Model
197,28564232,2023-06-14 10:53:19,28800,14400,2,NCF Model
198,42951059,2023-06-14 17:32:48,125600,60000,2,NCF Model
199,93352660,2023-06-01 21:50:41,94200,47100,3,NCF Model
200,93358685,2023-06-06 18:31:30,23400,11700,1,NCF Model
201,22837637,2023-06-17 14:41:51,79400,30000,1,NCF Model
202,89074285,2023-06-05 10:31:20,22800,11400,1,NCF Model
203,72378974,2023-06-13 20:23:54,60000,30000,1,NCF Model
204,87050054,2023-06-01 16:47:00,60000,30000,1,NCF Model
205,82826938,2023-06-13 15:51:33,60000,30000,1,NCF Model
206,45906310,2023-06-15 11:10:44,0,0,0,NCF Model
207,12872228,2023-06-15 17:01:25,60000,30000,1,NCF Model
208,53260166,2023-06-12 10:07:41,60000,30000,1,NCF Model
209,92507526,2023-06-06 16:29:34,60000,30000,2,NCF Model
210,91773779,2023-06-01 20:53:56,22800,11400,1,NCF Model
211,92330231,2023-06-07 13:07:03,60000,30000,1,NCF Model
212,91423921,2023-06-03 21:39:18,22800,11400,1,NCF Model
213,42992565,2023-06-01 13:12:48,85200,42600,4,NCF Model
214,89810720,2023-06-07 14:00:15,30000,15000,1,NCF Model
215,53604280,2023-06-15 17:32:30,0,0,0,NCF Model
216,80677927,2023-06-19 18:45:30,43000,21500,1,NCF Model
217,91067486,2023-06-16 07:56:57,8000,4000,1,NCF Model
218,45126709,2023-06-16 10:07:40,43000,21500,1,NCF Model
219,25467480,2023-06-15 11:40:40,15000,7500,1,NCF Model
220,59076265,2023-06-05 13:23:05,36000,18000,4,NCF Model
221,92202480,2023-06-07 21:10:48,60000,30000,1,NCF Model
222,50865113,2023-06-09 14:59:39,120000,60000,2,NCF Model
223,83270009,2023-06-05 15:27:47,60000,30000,2,NCF Model
224,94050191,2023-06-15 19:43:26,60000,30000,2,NCF Model
225,89507558,2023-06-08 16:03:54,38400,19200,3,NCF Model
226,40886639,2023-06-08 18:44:46,60000,30000,2,NCF Model
227,84875548,2023-06-07 15:19:48,47250,23625,1,NCF Model
228,50986480,2023-06-02 15:15:27,19200,9600,2,NCF Model
229,39786751,2023-06-01 13:50:44,60000,30000,1,NCF Model
230,88955796,2023-06-12 11:59:47,60000,30000,1,NCF Model
231,92550298,2023-06-13 11:00:49,53000,26500,3,NCF Model
232,90516106,2023-06-09 13:25:34,22800,11400,1,NCF Model
233,72791565,2023-06-18 16:30:38,60000,30000,2,NCF Model
234,92600207,2023-06-04 16:11:03,19200,9600,1,NCF Model
235,85296692,2023-06-17 16:08:13,23856,11928,1,NCF Model
236,91304050,2023-06-08 10:44:54,60000,30000,2,NCF Model
237,87598027,2023-06-06 13:44:35,28500,14250,1,NCF Model
238,87057583,2023-06-09 14:50:20,60000,30000,1,NCF Model
239,93359093,2023-06-05 14:56:31,19200,9600,1,NCF Model
240,27688782,2023-06-09 11:06:06,60000,30000,2,NCF Model
241,85933708,2023-06-05 21:31:22,60000,30000,1,NCF Model
242,87020340,2023-06-08 02:21:15,47000,23500,1,NCF Model
243,93789306,2023-06-17 11:46:17,60000,30000,1,NCF Model
244,92428430,2023-06-13 21:28:06,0,0,0,NCF Model
245,19641336,2023-06-11 13:15:28,60000,30000,2,NCF Model
246,9896767,2023-06-08 13:12:20,60000,30000,1,NCF Model
247,24671295,2023-06-19 16:36:55,0,0,0,NCF Model
248,82626615,2023-06-15 13:49:34,60000,30000,1,NCF Model
249,92600380,2023-06-05 09:40:48,60000,30000,2,NCF Model
250,82955307,2023-06-02 15:38:39,14880,7440,1,NCF Model
251,21820807,2023-06-07 12:02:11,60000,30000,1,NCF Model
252,98865176,2023-06-07 15:20:58,0,0,0,NCF Model
253,87265610,2023-06-05 16:10:16,19200,9600,1,NCF Model
254,54266836,2023-06-09 11:51:11,60000,30000,2,NCF Model
255,31105492,2023-06-09 16:21:11,19200,9600,2,NCF Model
256,85597521,2023-06-17 12:50:25,60000,30000,1,NCF Model
257,87224668,2023-06-01 16:42:32,60000,30000,1,NCF Model
258,83275840,2023-06-17 09:57:21,60000,30000,1,NCF Model
259,39919669,2023-06-19 23:26:58,60000,30000,1,NCF Model
260,52698892,2023-06-13 16:25:52,60000,30000,1,NCF Model
261,88488364,2023-06-08 17:11:34,60000,30000,1,NCF Model
262,26948819,2023-06-06 09:17:15,60000,30000,1,NCF Model
263,88649158,2023-06-01 18:41:28,0,0,0,NCF Model
264,53794583,2023-06-09 11:51:28,60000,30000,1,NCF Model
265,82876330,2023-06-15 11:25:55,63000,30000,1,NCF Model
266,88438533,2023-06-13 11:06:29,0,0,0,NCF Model
267,92614146,2023-06-16 17:52:20,60000,30000,1,NCF Model
268,8914838,2023-06-16 21:49:35,23856,11928,1,NCF Model
269,90466957,2023-06-13 14:38:25,60000,30000,1,NCF Model
270,83760250,2023-06-05 13:00:20,30000,15000,1,NCF Model
271,93789208,2023-06-13 14:08:08,60000,30000,1,NCF Model
272,41327901,2023-06-05 22:31:32,22800,11400,1,NCF Model
273,25872734,2023-06-08 09:33:37,40068,20034,1,NCF Model
274,88492418,2023-06-08 13:21:56,60000,30000,1,NCF Model
275,19745536,2023-06-01 13:48:13,0,0,0,NCF Model
276,53734072,2023-06-05 19:56:21,60000,30000,1,NCF Model
277,83039115,2023-06-14 18:50:41,33120,16560,2,NCF Model
278,85102133,2023-06-19 15:01:20,60000,30000,1,NCF Model
279,89107933,2023-06-15 16:38:08,6588,3294,1,NCF Model
280,80230460,2023-06-05 10:29:13,43200,21600,3,NCF Model
281,87059597,2023-06-01 15:28:07,60000,30000,1,NCF Model
282,66621851,2023-06-04 17:51:27,23400,11700,1,NCF Model
283,93789690,2023-06-19 19:22:13,11700,5850,1,NCF Model
284,92596479,2023-06-05 10:21:43,53000,26500,3,NCF Model
285,50816248,2023-06-07 09:56:03,0,0,0,NCF Model
286,88488287,2023-06-02 13:34:37,60000,30000,1,NCF Model
287,83215013,2023-06-16 14:58:48,0,0,0,NCF Model
288,88085411,2023-06-07 17:39:35,23400,11700,1,NCF Model
289,87441659,2023-06-15 14:40:44,0,0,0,NCF Model
290,23215290,2023-06-02 11:08:31,7200,3600,1,NCF Model
291,14816434,2023-06-08 13:13:42,60000,30000,2,NCF Model
292,24265584,2023-06-09 21:20:11,60000,30000,1,NCF Model
293,91090199,2023-06-12 14:34:45,64800,30000,1,NCF Model
294,50779736,2023-06-09 16:12:01,130800,59400,3,NCF Model
295,91417619,2023-06-09 11:13:53,66800,30000,1,NCF Model
296,69718507,2023-06-08 11:30:49,0,0,0,NCF Model
297,93361915,2023-06-06 21:00:35,37080,18540,1,NCF Model
298,87335720,2023-06-18 16:01:38,60000,30000,2,NCF Model
299,85566055,2023-06-18 14:29:28,19200,9600,1,NCF Model
300,80600033,2023-06-13 10:21:10,57600,28800,5,NCF Model
301,85435152,2023-06-06 09:27:37,11700,5850,1,NCF Model
302,82778648,2023-06-07 15:51:53,22800,11400,1,NCF Model
303,47524372,2023-06-01 00:24:59,42000,21000,2,NCF Model
304,93448455,2023-06-06 09:58:41,37080,18540,1,NCF Model
305,88292170,2023-06-07 11:02:21,60000,30000,1,NCF Model
306,38952507,2023-06-16 18:32:46,46800,23400,2,NCF Model
307,83128741,2023-06-03 12:39:16,0,0,0,NCF Model
308,53257459,2023-06-07 14:40:02,22800,11400,1,NCF Model
309,53136218,2023-06-02 14:07:31,60000,30000,2,NCF Model
310,88454076,2023-06-15 16:23:24,25200,12600,2,NCF Model
311,12762968,2023-06-01 11:08:47,33600,16800,2,NCF Model
312,17565516,2023-06-14 11:06:12,60000,30000,2,NCF Model
313,54525600,2023-06-08 20:54:22,60000,30000,2,NCF Model
314,94017757,2023-06-08 11:09:05,60000,30000,2,NCF Model
315,83250670,2023-06-09 18:11:41,44520,22260,2,NCF Model
316,97413007,2023-06-05 14:00:36,43200,21600,4,NCF Model
317,92261924,2023-06-12 14:28:11,60000,30000,2,NCF Model
318,91129342,2023-06-12 22:03:26,60000,30000,2,NCF Model
319,80521170,2023-06-09 09:56:26,47000,23500,1,NCF Model
320,97140203,2023-06-15 15:51:13,43200,21600,5,NCF Model
321,88277699,2023-06-04 18:18:44,23400,11700,1,NCF Model
322,92168379,2023-06-08 16:45:56,23856,11928,1,NCF Model
