encoded,original
532,82776851
533,12951790
534,82879202
535,90047224
536,97438464
537,53401617
538,23747873
539,90552910
540,88509375
541,47236597
542,72041228
543,41398665
544,88133321
545,26304817
546,90270665
547,24567645
548,16276123
549,86142794
550,91844275
551,23739352
552,88357573
553,92344621
554,92509263
555,92308097
556,41006892
557,52342936
558,59227587
559,80503222
560,90166918
561,28114356
562,23109283
563,59328213
564,42899420
565,83797670
566,83586555
567,28217466
568,1178172
569,88287423
570,38961739
571,91892178
572,81115410
573,91694212
574,91379214
575,22735322
576,55799471
577,83512891
578,92131205
579,88591156
580,24381541
581,90108404
582,11014591
583,88496097
584,91716721
585,89199763
586,91192870
587,42653158
588,88971297
589,88139198
590,90653207
591,90835185
592,72413851
593,53196453
594,42646116
595,55748419
596,4567007
597,55912059
598,22311318
599,83798848
600,54019603
601,23268866
602,92137593
603,83542038
604,56950241
605,85915716
606,97539630
607,72769183
608,48956587
609,92136567
610,90367669
611,88641682
612,92125750
613,12804236
614,83525087
615,90612537
616,55957246
617,2927792
618,12877096
619,13320126
620,54992837
621,69513309
622,82912259
623,80698556
624,54273301
625,90397832
626,50682228
627,90410498
628,28380847
629,90276197
630,90335837
631,82865495
632,72912651
633,73683375
634,50772240
635,53470753
636,72596958
637,10650122
638,41427845
639,91360881
640,72652563
641,89154294
642,88465284
643,91372768
644,90378737
645,83540762
646,41309489
647,54923115
648,85841601
649,42882357
650,24991184
651,53962531
652,22897992
653,83197676
654,97030043
655,85675552
656,82239207
657,53138258
658,29138601
659,50872753
660,24291582
661,53868472
662,89285802
663,42998701
664,28812296
665,27357827
666,52813627
667,90392935
668,25213016
669,88293071
670,87566236
671,26328000
672,81370495
673,90307543
674,90235921
675,37627785
676,88640728
677,92230514
678,28643715
679,89138680
680,42628308
681,91823320
682,90229884
683,84527295
684,89783575
685,82480219
686,27529574
687,22594998
688,4727095
689,89515889
690,85027677
691,90245630
692,90363397
693,69504907
694,92128807
695,92231020
696,85549107
697,52560361
698,90244219
699,97582896
700,87122825
701,91507169
702,47651025
703,90213861
704,62995359
705,85637740
706,92134391
707,90117425
708,89135760
709,83706685
710,85880456
711,93858534
712,26721572
713,52551270
714,54126646
715,88135783
716,81459028
717,59148388
718,92292150
719,92050012
720,72925570
721,87395888
722,91222311
723,82648224
724,31519057
725,85144859
726,91419829
727,90022856
728,55827194
729,24723596
730,90272636
731,42632289
732,90283514
733,83628696
734,54633087
735,53030783
736,90144865
737,90666890
738,90149123
739,85604902
740,39716714
741,91948757
742,88204063
743,91472318
744,88587982
745,91456675
746,81173847
747,83196867
748,28483317
749,42637685
750,50990533
751,89174643
752,90309205
753,88286326
754,25231226
755,9801875
756,90588086
757,4237301
758,53377264
759,42152133
760,83260348
761,83266954
762,27462519
763,55717963
764,80449396
765,54958394
766,16402780
767,27685130
768,83716776
769,91394685
770,29095531
771,90014315
772,76415541
773,45865394
774,50801907
775,97016598
776,47985682
777,41330005
778,91440077
779,38832882
780,85664020
781,83685680
782,90475822
783,54648238
784,54199892
785,24959852
786,47374346
787,19486881
788,20282668
789,89276141
790,40995566
791,88172787
792,55033005
793,93227690
794,52408211
795,53210379
796,84078494
797,27353890
798,91227131
799,86889440
800,83271886
801,54115818
802,90886965
803,24552586
804,83287711
805,25059153
806,70443859
807,25185969
808,53309674
809,16002399
810,86168822
811,90107708
812,94925188
813,90140235
814,53703090
815,41256201
816,54126596
817,50908963
818,91111820
819,47449867
820,87462892
821,88101192
822,50791437
823,88590038
824,92110497
825,83772050
826,16160050
827,83146213
828,91665194
829,54293329
830,83139183
831,73720744
832,28931960
833,26428232
834,85605888
835,24730858
836,89128579
837,50781938
838,83234996
839,97918365
840,53390323
841,41436387
842,53545608
843,84627800
844,53434954
845,54795673
846,88542418
847,24485356
848,16411752
849,59259840
850,78492895
851,47934946
852,47753579
853,82361184
854,85491512
855,90558800
856,90094176
857,91704470
858,97048281
859,24628299
860,20273210
861,88589150
