mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dense_layer_sizes,param_embedding_dim,param_epochs,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
63.449840466181435,13.699792752330534,0.7236200968424479,0.07142929836347156,32,"(64, 32)",8,20,0.001,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.001}",-1139343616.0,-931762880.0,-1105436928.0,-1058847808.0,90922494.70971131,10
53.8516751130422,0.47187417200086135,0.6665236949920654,0.0025387355963734644,32,"(64, 32)",8,20,0.01,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.01}",-1305858560.0,-1980287616.0,-1568675200.0,-1618273792.0,277559186.64980227,52
81.21472311019897,0.49413019241665945,0.6914768218994141,0.0103603176143017,32,"(64, 32)",8,30,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.0005}",-861584192.0,-42964684800.0,-1016228160.0,-14947499050.666666,19811242627.587246,64
80.77280465761821,1.5854398646489518,0.6882709662119547,0.005553727742555704,32,"(64, 32)",8,30,0.001,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.001}",-1977054976.0,-1251178368.0,-1151998720.0,-1460077354.6666667,367793915.4508083,46
79.69937252998352,0.478927639923251,0.7067743937174479,0.021671196126649073,32,"(64, 32)",8,30,0.01,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.01}",-1821844480.0,-1348477568.0,-1241186560.0,-1470502869.3333333,252267762.02915782,47
105.02425599098206,0.4481286717432256,0.6913329760233561,0.01286654805561671,32,"(64, 32)",8,40,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.0005}",-975161280.0,-989796672.0,-1816531200.0,-1260496384.0,393221384.7422033,29
107.37161501248677,0.8915787355404776,0.6747880776723226,0.002891305653049738,32,"(64, 32)",8,40,0.001,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.001}",-991896384.0,-1143550336.0,-1153458048.0,-1096301589.3333333,73936350.39586575,15
107.8525739510854,1.9574468479485798,0.688101609547933,0.0012262246544516829,32,"(64, 32)",8,40,0.01,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.01}",-1212092160.0,-1793425152.0,-1480537344.0,-1495351552.0,237559266.24166647,48
78.60447438557942,2.9960273608329477,0.7167803446451823,0.04125191669673521,32,"(64, 32)",16,20,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.0005}",-27785023488.0,-9515251712.0,-1647763456.0,-12982679552.0,10948557967.88787,63
74.38716340065002,0.29189131570815496,0.6912920475006104,0.0145523993561302,32,"(64, 32)",16,20,0.001,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.001}",-856204416.0,-1128602624.0,-1142845184.0,-1042550741.3333334,131894976.7877604,9
